,TestName,Metadata,IterationStartTime,IterationEndTime,MetricName,value,BaseLine,Grp_id,grp_startTime,IntertionTime
50,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 09:27:09.346370,2023-04-27 09:32:31.485310,op_rate,13822.0,21530.46402349486,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:33:44.547212
51,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 09:32:38.513496,2023-04-27 09:37:47.978238,op_rate,14721.0,21536.85124269006,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:33:51.888019
52,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 09:37:55.301397,2023-04-27 09:43:00.255353,op_rate,15014.0,21532.94152261861,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:33:59.015246
53,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 09:43:07.118875,2023-04-27 09:48:12.040947,op_rate,14992.0,21535.97614678899,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:34:06.013110
54,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 09:48:38.185735,2023-04-27 09:53:41.088074,op_rate,15030.0,21533.507511909123,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:34:13.101644
55,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 09:53:47.983361,2023-04-27 09:58:52.932354,op_rate,15008.0,21533.458500914076,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:34:21.781524
56,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 09:58:59.938018,2023-04-27 10:04:05.511308,op_rate,14852.0,21533.99306569343,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:34:29.384139
57,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 10:04:12.211301,2023-04-27 10:09:22.017770,op_rate,14619.0,21533.991221653254,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:34:36.359191
58,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 10:09:28.686427,2023-04-27 10:14:38.339609,op_rate,14583.0,21533.56515373353,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:34:43.572305
59,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 10:14:45.011099,2023-04-27 10:19:45.157120,op_rate,15240.0,21530.758747697975,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:34:51.086561
60,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 10:19:51.841096,2023-04-27 10:24:53.503683,op_rate,15292.0,21531.74236290026,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:34:59.445870
61,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 10:25:00.229164,2023-04-27 10:29:59.757847,op_rate,15368.0,21530.07520176082,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:35:06.928477
62,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 10:30:06.591248,2023-04-27 10:35:06.578762,op_rate,15359.0,21533.088677171127,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:35:14.518798
63,CASSANDRA,"('018b99da98567aff92f8ca0703a35fd35cd3667e83af24cc5274520c50f69623', 'e73dd03b3e2a4e35950d0b835085a09fc2aa5f8cd634a7fe7a06f0895185d4e7', 'write')",2023-04-27 10:35:13.522045,2023-04-27 10:40:13.492798,op_rate,15319.0,21531.69786293294,e98a0d39-f4eb-481c-a087-a53894afef80,2023-04-27 03:38:54.263752,2023-06-23 11:35:22.445273
